Id,Budget Year Type,Budget Year,Page Number from PDF Document,Sheet No printed on the bottom of PDF page,Account Type,CAPS,Deferred Charges Ind,Department,Division,Program,Program Details,Line Item Id from PDF,Line Item,Line Item Details,Line Item (original),FCOA,Appropriated – CY 2013,Appropriated – CY 2012,Appropriated – CY 2012 By Emerg. Approp.,Appropriated – Total CY 2012 Modified By Trans.,Expended CY 2013 – Paid or Charged,Expended CY 2012 – Reserved
21,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,INFORMATION TECHNOLOGY,OPERATIONS,OTHER EXPENSES,299,Other Expenses,,299 – Other Expenses,20-140-2,1080000,887000,,"887,000",886712,288
22,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,MUNICIPAL COURT,OPERATIONS,SALARIES AND WAGES,2280,Salaries & Wages,,2280 – Salaries & Wages,43-490-1,3586202,3480000,,"3,480,000",3425103,54897
23,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,MUNICIPAL COURT,OPERATIONS,OTHER EXPENSES,2281,Other Expenses,,2281 – Other Expenses,43-490-2,204850,196200,,"196,200",142801,53399
24,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PUBLIC DEFENDER,OPERATIONS,SALARIES AND WAGES,282,Salaries & Wages,,A282 – Salaries & Wages,43-495-1,86000,92000,,"92,000",83101,8899
25,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PUBLIC DEFENDER,OPERATIONS,OTHER EXPENSES,283,Other Expenses,,A283 – Other Expenses,43-495-2,257400,256700,,"256,700",241404,15296
26,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,COLLECTIONS,OPERATIONS,SALARIES AND WAGES,310,Salaries & Wages,,310 – Salaries & Wages,20-145-1,847000,762339,,"762,339",740732,21607
27,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,COLLECTIONS,OPERATIONS,OTHER EXPENSES,311,Other Expenses,,311 – Other Expenses,20-145-2,211850,194950,,"174,950",115798,59152
28,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,ACCOUNTS & CONTROL,OPERATIONS,SALARIES AND WAGES,330,Salaries & Wages,,330 – Salaries & Wages,20-134,486212,517312,,"517,312",483244,34068
29,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,ACCOUNTS & CONTROL,OPERATIONS,OTHER EXPENSES,331,Other Expenses,,331 – Other Expenses,20-134,5100,5100,,"5,100",4023,1077
30,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,TREASURY & DEBT MANAGEMENT,OPERATIONS,SALARIES AND WAGES,320,Salaries & Wages,,320 – Salaries & Wages,20-131,285417,285417,,"285,417",277992,7425
31,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,TREASURY & DEBT MANAGEMENT,OPERATIONS,OTHER EXPENSES,321,Other Expenses,,321 – Other Expenses,20-131,5650,5650,,"5,650",3282,2368
32,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PAYROLL,OPERATIONS,SALARIES AND WAGES,325,Salaries & Wages,,325 – Salaries & Wages,20-133,411432,438167,,"438,167",412620,25447
33,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PAYROLL,OPERATIONS,OTHER EXPENSES,,Other Expenses,,- Other Expenses,20-133,9400,6400,,"6,400",3034,3366
34,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PENSION,OPERATIONS,SALARIES AND WAGES,326,Salaries & Wages,,326 – Salaries & Wages,20-136,176540,195000,,"195,000",174240,20760
35,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PENSION,OPERATIONS,OTHER EXPENSES,,Other Expenses,,- Other Expenses,20-136,9750,9750,,"9,750",3629,6121
36,CY,2013,37,15,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,Break Adjustment,OPERATIONS,MISC OPERATIONS,,Break Adjustment,,Break Adjustment,,2053648,1857778,0,"1,852,778",1732264,120614
37,CY,2013,38,15A,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE TAX ASSEROR,TAX ASSESOR,OPERATIONS,SALARIES AND WAGES,375,Salaries & Wages,,375 – Salaries & Wages,20-150-1,887881,885591,,"885,591",866510,19081
38,CY,2013,38,15A,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE TAX ASSEROR,TAX ASSESOR,OPERATIONS,OTHER EXPENSES,376,Other Expenses,,376 – Other Expenses,20-150-2,247000,230000,,"190,000",181248,8752
39,CY,2013,38,15A,Appropriation,Within “CAPS”,Deferred Charges - No,LAW,LAW DEPARTMENT,OPERATIONS,SALARIES AND WAGES,395,Salaries & Wages,,395 – Salaraies & Wages,20-155-1,2809921,2630155,,"2,630,155",2595134,35021
40,CY,2013,38,15A,Appropriation,Within “CAPS”,Deferred Charges - No,LAW,LAW DEPARTMENT,OPERATIONS,OTHER EXPENSES,396,Other Expenses,,396 – Other Expenses,20-155-2,363300,368400,,"268,400",122865,145535
41,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,DIRECTOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,400,Salaries & Wages,,400 – Salaries & Wages,26-290-1,570000,483661,,"483,661",477202,6459
42,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,DIRECTOR'S OFFICE,OPERATIONS,OTHER EXPENSES,401,Other Expenses,,401 – Other Expenses,26-290-2,65600,130400,,"65,400",59036,6364
43,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,ARCHITECTURE,OPERATIONS,SALARIES AND WAGES,253,Salaries & Wages,,253 – Salaries & Expenses,26-112-1,399711,399278,,"399,278",381382,17896
44,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,ARCHITECTURE,OPERATIONS,OTHER EXPENSES,254,Other Expenses,,254 – Other Expenses,26-112-2,27200,27200,,"27,200",16791,10409
45,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,PARK MAINTENANCE,OPERATIONS,SALARIES AND WAGES,408,Salaries & Wages,,408 – Salaries & Wages,28-375-1,2050203,1860000,,"1,860,000",1818520,41480
46,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,PARK MAINTENANCE,OPERATIONS,OTHER EXPENSES,409,Other Expenses,,409 – Other Expenses,28-275-2,849400,749200,,"814,200",748922,65278
47,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,ENGINEERING,OPERATIONS,SALARIES AND WAGES,257,Salaries & Wages,,257 – Salaries & Wages,26-113-1,1695790,1620000,,"1,620,000",1576648,43352
48,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,ENGINEERING,OPERATIONS,OTHER EXPENSES,258,Other Expenses,,258 – Other Expenses,26-113-2,1664700,1671700,,"1,521,700",1424162,97538
49,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,BUILDING & STREET MAINTENANCE,OPERATIONS,SALARIES AND WAGES,412,Salaries & Wages,,412 – Salaries & Wages,26-291-1,2075332,2027432,,"2,027,432",1957271,70161
50,CY,2013,39,15B,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,BUILDING & STREET MAINTENANCE,OPERATIONS,OTHER EXPENSES,413,Other Expenses,,413 – Other Expenses,26-291-2,1504600,1404600,,"1,489,600",1454441,35159
51,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,AUTOMOTIVE SERVICES,OPERATIONS,SALARIES AND WAGES,415,Salaries & Wages,,415 – Salaries & Wages,26-315-1,834457,799000,,"799,000",765775,33225
52,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,PUBLIC WORKS,AUTOMOTIVE SERVICES,OPERATIONS,OTHER EXPENSES,416,Other Expenses,,416 – Other Expenses,26-315-2,2966120,2815620,,"2,945,620",2921522,24098
53,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,RECREATION,DIRECTOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,455,Salaries & Wages,,455 – Salaries & Wages,28-370-1,2590000,2323000,,"2,603,000",2582992,20008
54,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,RECREATION,DIRECTOR'S OFFICE,OPERATIONS,OTHER EXPENSES,456,Other Expenses,,456 – Other Expenses,28-370-2,445800,439235,,"439,235",380894,58341
55,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,DIRECTOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,500,Salaries & Wages,,500 – Salaries & Wages,27-330-1,653068,724845,,"679,345",667292,12053
56,CY,2013,40,15C,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,DIRECTOR'S OFFICE,OPERATIONS,OTHER EXPENSES,501,Other Expenses,,501 – Other Expenses,27-330-2,4450,4450,,"4,450",2461,1989
57,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,HEALTH,OPERATIONS,SALARIES AND WAGES,510,Salaries & Wages,,510 – Salaries & Wages,27-331-1,1938372,1879277,,"1,879,277",1853956,25321
58,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,HEALTH,OPERATIONS,OTHER EXPENSES,511,Other Expenses,,511 – Other Expenses,27-331-2,621600,551600,,"597,100",555181,41919
59,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,CULTURAL AFFAIRS,OPERATIONS,SALARIES AND WAGES,512,Salaries & Wages,,512 – Salaries & Wages,27-332-1,519952,559173,,"559,173",517394,41779
60,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,CULTURAL AFFAIRS,OPERATIONS,OTHER EXPENSES,513,Other Expenses,,513 – Other Expenses,27-332-2,171500,159000,,"119,000",108304,10696
61,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,CLINICAL SERVICES,OPERATIONS,SALARIES AND WAGES,515,Salaries & Wages,,515 – Salaries & Wages,27-333-1,290540,376449,,"376,449",332590,43859
62,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,CLINICAL SERVICES,OPERATIONS,OTHER EXPENSES,516,Other Expenses,,516 – Other Expenses,27-333-2,62770,62770,,"62,770",56416,6354
63,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,AIDS EDUCATION PROGRAM,OPERATIONS,OTHER EXPENSES,581,Other Expenses,,581 – Other Expenses,27-334-2,20000,20000,,"20,000",19694,306
64,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,SENIOR CITIZEN AFFAIRS,OPERATIONS,SALARIES AND WAGES,511,Salaries & Wages,,511 – Salaries & Wages,27-335,388039,367919,,"367,919",350439,17480
65,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,HEALTH & HUMAN SERVICES,SENIOR CITIZEN AFFAIRS,OPERATIONS,OTHER EXPENSES,,Other Expenses,,- Other Expenses,27-335,113900,66000,,"66,000",55175,10825
66,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,FIRE & EMERGENCY SVCS.,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,601,"FIRE OE O.S.H.A (PL 1983,c 516)",,"601 – FIRE OE O.S.H.A (PL 1983,c 516)",25-267-2,350000,350000,,"350,000",350000,
67,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,FIRE & EMERGENCY SVCS.,"UNIFORM FIRE SAFETY ACT (PL83,c.383)",OPERATIONS,SALARIES AND WAGES,602,Salaries & Wages,,602 – Salaries & Wages,25-266-1,250000,250000,,"250,000",250000,
68,CY,2013,41,15D,Appropriation,Within “CAPS”,Deferred Charges - No,FIRE & EMERGENCY SVCS.,"UNIFORM FIRE SAFETY ACT (PL83,c.383)",OPERATIONS,OTHER EXPENSES,603,Other Expenses,,603 – Other Expenses,25-266-2,0,0,,0,0,
69,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,FIRE & EMERGENCY SVCS.,FIRE,OPERATIONS,SALARIES AND WAGES,605,Salaries & Wages,,605 – Salaries & Wages,25-265-1,63119902,60850000,,"60,100,000",59831209,268791
70,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,FIRE & EMERGENCY SVCS.,FIRE,OPERATIONS,OTHER EXPENSES,606,Other Expenses,,606 – Other Expenses,25-265-2,1505300,1700000,,"1,600,000",1467069,132931
71,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,POLICE,POLICE,OPERATIONS,SALARIES AND WAGES,650,Salaries & Wages,,650 – Salaries & Wages,25-240-1,97900000,94400000,,"94,400,000",94400000,0
72,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,POLICE,POLICE,OPERATIONS,OTHER EXPENSES,651,Other Expenses,,651 – Other Expenses,25-240-2,2788737,2756000,,"2,706,000",2654377,51623
73,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",DIRECTOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,700,Salaries & Wages,,700 – Salaries & Wages,20-170-1,523593,541348,,"541,348",534350,6998
74,CY,2013,42,15E,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",DIRECTOR'S OFFICE,OPERATIONS,OTHER EXPENSES,701,Other Expenses,,701 – Other Expenses,20-170-2,31800,35200,,"35,200",15047,20153
75,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",Uniform Construction Code Appropriations Offset by Dedicated Revenues (N.J.A.C 5:23-4.17),OPERATIONS,MISC OPERATIONS,,Uniform Construction Code Appropriations Offset by Dedicated Revenues (N.J.A.C 5:23-4.17),,Uniform Construction Code Appropriations Offset by Dedicated Revenues (N.J.A.C 5:23-4.17),,,,,0,,
76,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",CONSTRUCTION CODE OFFICIAL,OPERATIONS,SALARIES AND WAGES,702,Salaries & Wages,,702 – Salaries & Wages,22-195-1,1915860,1795978,,"1,795,978",1754121,41857
77,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",CONSTRUCTION CODE OFFICIAL,OPERATIONS,OTHER EXPENSES,703,Other Expenses,,703 – Other Expense,22-195-2,117500,105900,,"105,900",79618,26282
78,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",TENANT/LANDLORD RELATIONS,OPERATIONS,SALARIES AND WAGES,712,Salaries & Wages,,712 – Salaries & Wages,22-196-1,234000,200297,,"200,297",200292,5
79,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",TENANT/LANDLORD RELATIONS,OPERATIONS,OTHER EXPENSES,713,Other Expenses,,713 – Other Expenses,22-196-2,20200,10250,,"10,250",4685,5565
80,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",COMMUNITY DEVELOPMENT,OPERATIONS,SALARIES AND WAGES,715,Salaries & Wages,,715 – Other Expenses,27-360-2,4250,4250,,"4,250",3326,924
81,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",COMMERCE,OPERATIONS,OTHER EXPENSES,718,Other Expenses,,718 – Salaries & Wages,22-197-1,616244,575402,,"575,402",561633,13769
82,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",COMMERCE,OPERATIONS,SALARIES AND WAGES,721,Salaries & Wages,,721 – Other Expenses,22-197-2,25800,32400,,"32,400",16810,15590
83,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",ECONOMIC DEVELOPMENT,OPERATIONS,OTHER EXPENSES,720,Other Expenses,,720 – Salaries & Wages,22-171-1,206628,212150,,"212,150",205439,6711
84,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",ECONOMIC DEVELOPMENT,OPERATIONS,SALARIES AND WAGES,721,Salaries & Wages,,721 – Other Expenses,22-171-2,6500,2500,,"2,500",121,2379
85,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",CITY PLANNING,OPERATIONS,OTHER EXPENSES,722,Other Expenses,,722 – Salaries & Wages,21-180-1,855733,767441,,"767,441",747916,19525
86,CY,2013,43,15F,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",CITY PLANNING,OPERATIONS,SALARIES AND WAGES,723,Salaries & Wages,,723 – Other Expenses,21-180-2,9000,8700,,"8,700",8554,146
87,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",HOUSING CODE ENFORCEMENT,OPERATIONS,OTHER EXPENSES,724,Other Expenses,,724 – Salaries & Wages,22-198-1,631218,646268,,"646,268",629739,16529
88,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",HOUSING CODE ENFORCEMENT,OPERATIONS,OTHER EXPENSES,725,Other Expenses,,725 – Other Expenses,22-198-2,43000,49200,,"49,200",34362,14838
89,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",PLANNING BOARD,OPERATIONS,OTHER EXPENSES,729,Other Expenses,,729 – Other Expenses,21-181-2,82800,82800,,"82,800",76453,6347
90,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",BOARD OF ADJUSTMENT,OPERATIONS,OTHER EXPENSES,737,Other Expenses,,737 – Other Expenses,21-185-2,68500,68500,,"68,500",61062,7438
91,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",HISTORIC DISTRICT COMMISSION,OPERATIONS,OTHER EXPENSES,737,Other Expenses,,737 – Other Expenses,21-175-2,100,100,,100,0,100
92,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",ZONING OFFICER,OPERATIONS,SALARIES AND WAGES,732,Salaries & Wages,,732 – Salaries & Wages,21-186-1,236794,235000,,"235,000",230875,4125
93,CY,2013,44,15G,Appropriation,Within “CAPS”,Deferred Charges - No,"HOUSING, ECON. DEV. & COMMERCE",ZONING OFFICER,OPERATIONS,OTHER EXPENSES,733,Other Expenses,,733 – Other Expenses,21-186-2,12400,12400,,"12,400",10202,2198
94,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,EMPLOYEE INSURANCE,87A,INSURANCE ALL DEPARTMENTS,,87A – INSURANCE ALL DEPARTMENTS,23-210,6200000,6200000,,"7,200,000",7200000,0
95,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,EMPLOYEE INSURANCE,87B,Employee Group Health Insurance,,87B – EMPLOYEE GROUP HEALTH INSURANCE,23-220,70943758,69135000,,"69,135,000",66605197,2529803
96,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MISC OPERATIONS,,HEALTH BENEFIT WAIVER,,HEALTH BENEFIT WAIVER,23-221,1200000,1140000,,"1,148,100",1141063,7037
97,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,JC INCINERATOR AUTHORITY,NON-DIVISIONAL,OPERATIONS,JC INCINERATOR AUTHORITY,,JC INCINERATOR AUTHORITY,,JCI – JC INCINERATOR AUTHORITY,26-305,33993916,31300000,,"31,300,000",31300000,0
98,CY,2013,45,16,Appropriation,Within “CAPS”,Deferred Charges - No,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,MARKETING,879,MUNICIPAL PUBLICITY,,879 – MUNICIPAL PUBLICITY,30-410,20000,20000,,"20,000",2147,17853
